"1","Leon","Smith","N/A","Male","Mercedes-Benz","Astro Cargo","2009","Pickup","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2","Margaret","Mason","N/A","Female","Honda","Sable","2015","Van/Minivan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","Guy","Harrison","N/A","Male","Chevrolet","S60","2013","SUV","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","Denise","Robinson","N/A","Female","Ford","Tucson","2002","Sedan","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","Simon","Fox","N/A","Male","Toyota","Dart","2005","SUV","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","Tom","Cooke","N/A","Male","Hyundai","Liberty","2019","Pickup","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","Fiona","Marshall","N/A","Female","Chevrolet","Pathfinder","2006","SUV","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Mitchell","Davidson","N/A","Male","Subaru","A8","2006","Sedan, Hatchback, Wagon","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","Sam","Long","N/A","Male","Mercedes-Benz","Azure T","2018","Coupe","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","Sean","Perry","N/A","Male","Ford","1500 Regular Cab","2010","SUV","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"11","Jacob","Bennett","N/A","Male","Mercedes-Benz","Impreza","1999","SUV","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12","Lydia","Henderson","N/A","Female","Nissan","GLC Coupe","2006","SUV","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
